"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3811","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 19:38:38 UTC 2026","passed","Sat Jan 10 19:38:42 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","5288","Verify that pet can be updated successfully with new data","API Test Suite","Sat Jan 10 19:37:43 UTC 2026","passed","Sat Jan 10 19:37:48 UTC 2026","api.UpdatePetTest","API Tests","api.UpdatePetTest","verifyPetCanBeUpdatedSuccessfully"
"","12629","Verify that user can add multiple products to cart and remove one","Web Test Suite","Sat Jan 10 19:37:40 UTC 2026","passed","Sat Jan 10 19:37:53 UTC 2026","web.ShoppingTest","Web Tests","web.ShoppingTest","addMultipleProductsAndRemoveOneTest"
"","3743","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 19:38:16 UTC 2026","passed","Sat Jan 10 19:38:20 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","13018","Verify that user can complete checkout process with generated user data","Web Test Suite","Sat Jan 10 19:37:40 UTC 2026","passed","Sat Jan 10 19:37:53 UTC 2026","web.CheckoutTest","Web Tests","web.CheckoutTest","completeCheckoutWithGeneratedUserDataTest"
"","9862","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 19:39:18 UTC 2026","passed","Sat Jan 10 19:39:28 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","3688","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 19:39:00 UTC 2026","passed","Sat Jan 10 19:39:04 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","9502","Verify that user can login with valid credentials","Mobile Test Suite","Sat Jan 10 19:37:49 UTC 2026","passed","Sat Jan 10 19:37:58 UTC 2026","mobile.LoginTest","Mobile Tests","mobile.LoginTest","validLoginTest"
"","9241","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 19:37:48 UTC 2026","passed","Sat Jan 10 19:37:58 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","6667","Verify that user can add and remove product from cart","Mobile Test Suite","Sat Jan 10 19:37:50 UTC 2026","passed","Sat Jan 10 19:37:57 UTC 2026","mobile.CartTest","Mobile Tests","mobile.CartTest","addAndRemoveProductFromCartTest"
"","10497","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 19:38:49 UTC 2026","passed","Sat Jan 10 19:39:00 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","4150","Verify that pet can be deleted successfully by ID","API Test Suite","Sat Jan 10 19:37:43 UTC 2026","passed","Sat Jan 10 19:37:47 UTC 2026","api.DeletePetTest","API Tests","api.DeletePetTest","verifyPetCanBeDeletedSuccessfully"
"","5107","Verify that pet can be created successfully with valid data","API Test Suite","Sat Jan 10 19:37:43 UTC 2026","passed","Sat Jan 10 19:37:48 UTC 2026","api.CreatePetTest","API Tests","api.CreatePetTest","verifyPetCanBeCreatedSuccessfully"
"","12027","Verify that user can successfully login and logout","Web Test Suite","Sat Jan 10 19:37:40 UTC 2026","passed","Sat Jan 10 19:37:52 UTC 2026","web.LoginTest","Web Tests","web.LoginTest","successfulLoginAndLogoutTest"
"","4534","Verify that products are sorted correctly","Mobile Test Suite","Sat Jan 10 19:37:50 UTC 2026","passed","Sat Jan 10 19:37:55 UTC 2026","mobile.SortTest","Mobile Tests","mobile.SortTest","sortProductsTest"
"","4859","Verify that pet can be retrieved successfully by ID","API Test Suite","Sat Jan 10 19:37:43 UTC 2026","passed","Sat Jan 10 19:37:48 UTC 2026","api.GetPetTest","API Tests","api.GetPetTest","verifyPetCanBeRetrievedById"
"","10270","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 19:38:16 UTC 2026","passed","Sat Jan 10 19:38:27 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9692","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 19:40:14 UTC 2026","passed","Sat Jan 10 19:40:24 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
"","9811","Verify that user cannot login with invalid credentials","Mobile Test Suite","Sat Jan 10 19:39:46 UTC 2026","passed","Sat Jan 10 19:39:56 UTC 2026","mobile.NegativeLoginTest","Mobile Tests","mobile.NegativeLoginTest","invalidLoginTest"
